자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",0~9세,2030_상주인구수,23년 출생인구,공립,사립,공립+사립,1인가구 비율(%),어린이집 수,공립유치원정원,사립유치원정원
강남구,삼성1동,12,7,0,0,6,3,12,526,269,0.51,87,0,348,5143098,134,2162,2,653,4009,63,0,1,1,28.8,11,0.0,128.0
강남구,삼성2동,47,4,1,0,2,5,12,768,518,0.67,41,0,393,5094416,89,2113,1,1985,8826,130,0,0,0,35.69,19,0.0,0.0
강남구,역삼1동,143,27,3,0,5,6,19,702,312,0.44,104,0,763,3629382,74,1230,8,817,16690,153,1,0,1,62.56,19,32.0,0.0
강남구,역삼2동,16,1,0,0,2,8,7,547,340,0.62,55,0,277,5414467,74,1991,4,2173,9904,106,0,1,1,34.2,15,0.0,86.0
강남구,도곡1동,0,4,1,0,8,2,12,256,167,0.65,31,4,243,5446074,115,1795,5,1405,6289,84,1,1,2,24.06,8,59.0,128.0
송파구,풍납1동,5,0,0,0,1,1,7,213,174,0.82,19,0,133,3020190,79,1272,0,543,3919,60,0,1,1,32.36,15,0.0,44.0
강남구,도곡2동,0,6,0,0,0,4,5,308,224,0.73,93,8,184,6595455,116,2380,0,2412,7492,106,0,2,2,13.07,5,0.0,272.0
송파구,풍납2동,5,0,0,0,1,3,13,1152,818,0.71,39,9,173,3917183,76,1342,2,1560,7612,118,0,3,3,29.37,34,0.0,479.0
강남구,개포1동,0,0,0,0,0,1,11,141,98,0.69,27,2,49,5156498,120,2334,0,848,1719,24,1,0,1,23.63,12,17.0,0.0
송파구,방이2동,26,0,0,1,2,4,2,506,430,0.85,30,0,132,2944371,78,1098,2,927,9899,111,0,1,1,50.8,24,0.0,84.0
강남구,개포4동,1,0,0,0,1,2,3,706,488,0.69,28,20,408,3576102,87,1968,1,1555,5934,162,1,1,2,29.24,21,32.0,65.0
강남구,일원본동,0,0,1,1,1,9,13,691,467,0.68,42,1,158,5465517,82,2291,1,1754,5971,109,0,3,3,12.33,17,0.0,231.0
강남구,일원1동,0,1,0,0,0,3,2,490,255,0.52,37,14,228,3033658,56,2228,1,577,4708,66,1,1,2,38.75,14,78.0,52.0
송파구,송파2동,2,0,0,0,0,5,6,239,231,0.97,43,0,86,4388013,95,1568,1,1238,6099,83,1,3,4,17.78,11,108.0,315.0
강남구,개포3동,0,2,1,0,0,5,4,444,307,0.69,54,5,113,5147848,90,2513,5,1018,4227,98,0,2,2,14.25,13,0.0,156.0
강남구,수서동,1,2,0,0,1,7,9,390,288,0.74,30,12,171,3855339,94,2147,1,522,4098,92,1,3,4,41.79,10,19.0,530.0
강남구,압구정동,15,13,0,4,8,7,9,306,240,0.78,50,4,367,5869439,120,2925,2,1788,6752,121,0,1,1,19.8,7,0.0,80.0
송파구,석촌동,23,2,1,0,15,5,3,656,526,0.8,51,0,203,2945267,76,1171,5,1226,12280,119,0,2,2,43.85,25,0.0,350.0
강남구,청담동,26,8,2,1,6,4,14,360,270,0.75,64,0,495,5064308,132,2222,1,1659,8562,103,1,2,3,31.24,13,22.0,214.0
송파구,삼전동,19,0,0,0,3,6,2,716,582,0.81,31,0,186,2802008,69,1043,3,1084,11765,126,0,2,2,43.56,25,0.0,239.0
강남구,대치2동,2,6,3,0,3,1,9,629,400,0.64,90,0,303,6031786,97,2556,2,2204,9543,89,1,0,1,15.09,18,23.0,0.0
송파구,가락본동,43,2,0,0,10,9,9,465,401,0.86,53,0,129,3556481,84,1194,3,1354,8926,137,1,1,2,30.0,31,33.0,61.0
강남구,개포2동,0,1,1,1,0,5,10,466,249,0.53,101,9,228,5147848,85,2979,0,3631,5029,260,1,2,3,14.25,19,131.0,201.0
송파구,거여1동,13,0,0,0,2,5,6,609,516,0.85,19,0,117,2804087,76,1131,0,490,3362,46,1,0,1,27.8,21,43.0,0.0
송파구,거여2동,1,1,1,0,1,5,12,771,682,0.88,20,0,153,3055829,74,1405,0,1771,4499,166,1,2,3,27.65,30,47.0,186.0
송파구,문정1동,1,1,0,0,1,4,6,341,303,0.89,25,0,91,3598326,81,1151,0,1053,6840,80,0,1,1,27.17,16,0.0,156.0
송파구,마천1동,4,2,1,0,9,5,7,442,420,0.95,28,0,134,2444437,77,1145,1,673,4818,45,0,1,1,30.42,16,0.0,264.0
송파구,마천2동,1,2,0,0,4,5,6,520,391,0.75,24,0,150,2350856,67,1177,1,572,4953,51,1,1,2,29.49,29,10.0,14.0
송파구,방이1동,4,0,0,0,1,4,3,201,152,0.76,29,0,114,3992780,100,1200,0,885,4758,57,1,1,2,24.01,10,55.0,43.0
송파구,오금동,6,2,1,0,2,13,16,901,724,0.8,81,1,208,3535896,87,1258,4,2265,11322,161,1,3,4,21.45,30,75.0,409.0
송파구,송파1동,6,2,0,0,3,6,5,552,429,0.78,38,0,127,3156460,96,1172,1,943,9762,123,1,2,3,41.71,19,32.0,30.0
송파구,가락1동,36,1,1,1,0,0,4,813,698,0.86,39,0,32,4845454,79,2152,1,3003,5781,227,1,0,1,13.16,21,60.0,0.0
송파구,가락2동,3,2,0,0,0,8,11,945,725,0.77,36,0,141,3944606,90,1191,3,2039,9463,144,0,4,4,19.79,32,0.0,492.0
송파구,문정2동,2,8,0,0,4,9,4,546,392,0.72,116,1,88,4500916,105,1694,3,1447,11535,169,0,0,0,51.51,14,0.0,0.0
송파구,잠실3동,6,3,1,0,1,2,6,409,348,0.85,57,2,42,5471680,96,2553,0,2545,8886,126,2,1,3,9.98,26,104.0,106.0
강동구,성내1동,5,1,0,0,5,3,13,774,526,0.68,57,0,115,3464859,86,1043,0,1315,5889,109,0,1,1,24.06,22,0.0,140.0
강동구,명일1동,1,2,1,0,2,5,8,604,567,0.94,52,0,142,3581960,75,1110,0,2024,6584,174,1,0,1,18.23,26,40.0,0.0
강동구,명일2동,2,5,0,0,0,5,5,257,218,0.85,54,4,71,4543984,104,1263,1,933,4391,38,0,4,4,13.78,15,0.0,394.0
강동구,고덕1동,0,0,0,1,0,6,10,517,427,0.83,65,0,143,4629717,85,1439,1,2183,5995,59,0,2,2,13.69,13,0.0,194.0
강동구,고덕2동,0,2,1,0,1,5,3,619,551,0.89,74,0,167,2469588,65,1814,0,2404,3769,157,1,1,2,21.34,23,71.0,64.0
강동구,암사2동,8,1,1,1,0,1,2,526,419,0.8,26,6,79,3716364,82,1296,2,1141,4491,103,0,1,1,25.09,21,0.0,156.0
강동구,암사3동,0,1,0,0,0,4,4,464,364,0.78,44,3,110,4493691,79,1206,0,1514,4639,64,0,1,1,12.02,15,0.0,225.0
강동구,천호1동,12,1,0,0,0,6,14,771,632,0.82,44,0,262,2492890,76,860,1,1128,7962,97,1,0,1,32.88,25,42.0,0.0
강동구,천호3동,54,2,1,0,3,1,4,564,411,0.73,39,1,196,3174637,71,1050,0,1132,8300,143,0,2,2,42.28,15,0.0,206.0
강동구,성내2동,20,2,0,0,4,1,3,569,373,0.66,31,0,217,2835156,77,1058,3,843,7900,110,0,0,0,45.04,19,0.0,0.0
강동구,성내3동,32,14,1,0,2,3,1,648,495,0.76,39,0,203,2921629,70,935,0,981,7038,79,0,2,2,32.8,15,0.0,500.0
강동구,둔촌2동,5,3,1,0,1,2,13,578,430,0.74,64,0,209,3444262,75,1101,2,1520,7784,146,1,1,2,24.03,21,52.0,63.0
강동구,암사1동,6,1,1,0,1,4,18,1043,797,0.76,30,3,301,2869280,75,978,2,1711,10165,125,1,0,1,31.54,29,96.0,0.0
강동구,천호2동,72,9,1,0,6,7,5,819,622,0.76,76,4,339,2759828,71,1046,3,1447,10500,177,0,2,2,40.62,15,0.0,253.0
강동구,길동,53,4,1,0,7,4,10,1009,697,0.69,116,5,320,2869250,59,918,1,2010,14291,200,2,4,6,35.41,35,78.0,373.0
강동구,강일동,0,1,1,0,1,7,13,1168,934,0.8,143,8,94,3089179,81,1193,0,3086,8100,169,3,1,4,18.45,50,390.0,219.0
강동구,상일1동,1,0,1,0,1,6,8,856,823,0.96,110,10,165,3674376,72,1594,3,4517,2651,244,2,3,5,13.12,31,108.0,329.0
강동구,상일2동,0,0,0,0,1,1,1,668,592,0.89,24,0,34,3674376,84,1206,0,1002,2651,55,0,1,1,13.12,18,0.0,409.0
종로구,교남동,3,0,1,1,2,1,2,323,245,0.76,9,3,86,4617088,59,1895,0,741,2650,49,0,0,0,29.69,6,0.0,0.0
종로구,종로1·2·3·4가동,289,11,0,13,0,4,18,741,355,0.48,203,19,227,3261845,75,958,5,170,1751,12,0,1,1,65.21,14,0.0,75.0
서초구,방배2동,1,0,0,0,1,6,5,694,498,0.72,38,0,353,3869928,104,1594,3,934,6287,99,0,0,0,28.31,19,0.0,0.0
강북구,미아동,7,1,1,1,3,5,7,347,241,0.69,34,0,123,2335731,71,695,1,565,6640,48,0,0,0,45.69,11,0.0,0.0
강북구,인수동,29,0,0,0,4,2,8,367,290,0.79,58,0,181,2371068,60,532,2,1142,8045,57,1,2,3,30.77,16,95.0,113.0
