기준_년분기_코드,행정동_코드_명,행정동_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,인구수
20191,중곡1동,11215740,2647649,6,3437417000,1179828000,80239000,238929000,289687000,451177000,34445000,251224000,218608000,124931000,568349000,15237
20191,중곡2동,11215750,2688804,6,2910625000,739669000,82195000,95337000,448642000,90946000,157391000,119483000,253537000,130212000,793213000,20517
20191,중곡3동,11215760,2509314,6,2135755000,494656000,31571000,33828000,450948000,230987000,114003000,128049000,105315000,72462000,473936000,15727
20191,중곡4동,11215770,2642795,6,2787570000,812196000,151972000,30401000,331018000,257585000,148074000,114648000,182806000,109451000,649419000,27590
20191,화양동,11215710,2600804,6,16635598000,1397358000,1081350000,84626000,1909226000,25224000,301480000,2683120000,1231385000,664988000,7256841000,23192
20192,광장동,11215810,5474064,9,4120604000,1049528000,148335000,39130000,300673000,423936000,399656000,95356000,254254000,194006000,1215730000,33967
20192,구의1동,11215850,2829119,6,3789142000,761124000,159112000,85176000,387491000,63007000,67240000,384616000,169369000,122149000,1589858000,23124
20192,구의2동,11215860,2819976,6,3444387000,1138573000,100967000,35539000,211377000,58244000,172293000,81205000,357082000,176474000,1112633000,25604
20192,구의3동,11215870,4206253,8,10938098000,1556392000,1027980000,888186000,845304000,1051695000,799249000,173649000,1250382000,983636000,2361625000,27836
20192,군자동,11215730,2745005,6,4568896000,1261933000,49143000,244083000,228642000,152769000,86924000,209907000,161922000,260640000,1912933000,19068
20192,능동,11215780,3000847,7,4775959000,758225000,31784000,347333000,709268000,1182788000,49857000,197255000,228643000,40884000,1229922000,11095
20192,자양1동,11215820,2810489,6,4295396000,1195456000,247744000,48113000,714759000,122995000,204894000,138316000,236562000,173372000,1213185000,21832
20192,자양2동,11215830,3123453,7,2752168000,786494000,39183000,43678000,311316000,73833000,162167000,186922000,147810000,100742000,900023000,23625
20192,자양3동,11215840,4597422,8,4438841000,606641000,513326000,52001000,329322000,342829000,395913000,64151000,330537000,236897000,1567224000,27216
20192,자양4동,11215847,2830773,6,8023286000,1565516000,286337000,24617000,874786000,125810000,98435000,355306000,898461000,368168000,3425850000,19881
20192,중곡1동,11215740,2647649,6,3764884000,1201138000,103187000,271808000,308629000,526815000,38365000,278757000,301300000,146511000,588374000,15237
20192,중곡2동,11215750,2688804,6,3288077000,781629000,112021000,149009000,526014000,116721000,150862000,130443000,307525000,136642000,877211000,20517
20192,중곡3동,11215760,2509314,6,2325015000,548439000,48220000,41108000,503793000,273566000,84770000,131433000,123210000,63136000,507340000,15727
20192,중곡4동,11215770,2642795,6,3117632000,860965000,193200000,31671000,325188000,302225000,146719000,144392000,238132000,100889000,774251000,27590
20192,화양동,11215710,2600804,6,17683414000,1697575000,1369433000,80162000,2072806000,59204000,383486000,2543667000,1222144000,749730000,7505207000,23192
20193,광장동,11215810,5474064,9,4156347000,1083006000,112744000,72038000,326674000,411609000,462710000,65810000,286368000,180186000,1155202000,33967
20193,구의1동,11215850,2829119,6,3835366000,763354000,100619000,113926000,381118000,71285000,59829000,444016000,179539000,119481000,1602199000,23124
20193,구의2동,11215860,2819976,6,3919392000,1217535000,68442000,42021000,182649000,71087000,187238000,98103000,741668000,167535000,1143114000,25604
20193,구의3동,11215870,4206253,8,12425984000,1727481000,894967000,945782000,945427000,1805209000,877834000,167691000,1267640000,1312854000,2481099000,27836
20193,군자동,11215730,2745005,6,4188701000,1242930000,42099000,196924000,225987000,149442000,72597000,209505000,144859000,270142000,1634216000,19068
20193,능동,11215780,3000847,7,4811567000,706928000,21580000,375420000,710323000,1292768000,45084000,207906000,263801000,52372000,1135385000,11095
20193,자양1동,11215820,2810489,6,4393125000,1342104000,202108000,44296000,668339000,121225000,204497000,140233000,220275000,172033000,1278015000,21832
20193,자양2동,11215830,3123453,7,2832482000,835104000,27117000,36443000,324917000,96795000,169880000,185254000,184849000,105289000,866834000,23625
20193,자양3동,11215840,4597422,8,4495007000,630182000,531904000,61102000,291184000,343371000,417008000,59816000,316366000,230233000,1613841000,27216
20193,자양4동,11215847,2830773,6,8162954000,1723858000,242006000,25471000,940395000,103900000,158020000,375516000,895051000,372077000,3326660000,19881
20193,중곡1동,11215740,2647649,6,4004534000,1308136000,74393000,312121000,347743000,593046000,38032000,299400000,288058000,137634000,605971000,15237
20193,중곡2동,11215750,2688804,6,3293880000,793629000,92996000,142371000,510201000,114012000,187465000,138735000,282952000,136818000,894701000,20517
20193,중곡3동,11215760,2509314,6,2351781000,588590000,41512000,28425000,468935000,268879000,92531000,143571000,138104000,65094000,516140000,15727
20193,중곡4동,11215770,2642795,6,3185737000,972198000,154650000,20652000,328148000,341672000,149762000,153491000,189416000,80606000,795142000,27590
20193,화양동,11215710,2600804,6,17699082000,1747179000,1352643000,78608000,2032795000,85033000,411148000,2746492000,1301611000,735964000,7207609000,23192
20194,광장동,11215810,5284540,9,4173035000,1040304000,234374000,124593000,317869000,327166000,411392000,67668000,246909000,188527000,1214233000,33967
20194,구의1동,11215850,2683701,6,3844517000,722275000,113960000,97229000,408979000,64563000,56983000,399385000,166762000,113193000,1701188000,23124
20194,구의2동,11215860,2948328,6,3511307000,1123478000,106897000,55784000,235599000,103838000,190166000,105762000,318262000,163361000,1108160000,25604
20194,구의3동,11215870,4010979,8,12411650000,1651171000,1048099000,949359000,942344000,1749363000,859248000,157262000,1034501000,1538835000,2481468000,27836
20194,군자동,11215730,2604535,6,4672644000,1253520000,51130000,226883000,317878000,139415000,73683000,199674000,159121000,283035000,1968305000,19068
20194,능동,11215780,2846023,6,4669214000,621774000,27523000,377683000,741918000,1209804000,48740000,208557000,218695000,48698000,1165822000,11095
20194,자양1동,11215820,2745988,6,4476691000,1238514000,324554000,37079000,712608000,147401000,196110000,126533000,236667000,166540000,1290685000,21832
20194,자양2동,11215830,2999213,7,2801665000,767457000,61358000,33952000,380324000,96811000,153318000,163621000,187572000,116612000,840640000,23625
20194,자양3동,11215840,4353416,8,4428789000,557035000,504998000,46710000,336967000,341313000,404655000,52927000,349893000,247618000,1586673000,27216
20194,자양4동,11215847,2795134,6,7815177000,1500942000,339157000,31770000,915164000,16028000,111835000,345695000,909085000,352670000,3292831000,19881
20194,중곡1동,11215740,2542359,6,3987243000,1253147000,110962000,324749000,399281000,517295000,29716000,276788000,277344000,148318000,649643000,15237
20194,중곡2동,11215750,2555101,6,3450981000,757585000,129539000,139960000,614732000,116853000,149273000,150984000,303229000,153790000,935036000,20517
20194,중곡3동,11215760,2390961,5,2669134000,528462000,39102000,33751000,438062000,700705000,80611000,135293000,131908000,69092000,512148000,15727
20194,중곡4동,11215770,2523958,6,3156363000,890746000,184360000,23748000,333043000,308093000,136752000,160486000,237826000,86221000,795088000,27590
20194,화양동,11215710,2470026,6,18172029000,1731314000,1257611000,75575000,2084732000,47602000,421746000,2745423000,1319938000,698539000,7789549000,23192
20201,광장동,11215810,5284540,9,3478064000,971360000,79789000,19037000,295562000,260886000,368738000,57199000,262850000,172810000,989833000,33967
20201,구의1동,11215850,2683701,6,3600502000,774863000,94923000,89616000,377501000,43675000,46934000,373321000,167045000,111398000,1521226000,23124
20201,구의2동,11215860,2948328,6,3495485000,1255167000,74730000,48457000,252967000,48909000,144343000,97255000,398230000,155977000,1019450000,25604
20201,구의3동,11215870,4010979,8,9855878000,1750745000,553712000,868224000,892841000,1077736000,698900000,141904000,763897000,1158307000,1949612000,27836
20201,군자동,11215730,2604535,6,3979598000,1193696000,27163000,167737000,470486000,120826000,74326000,175184000,151898000,234403000,1363879000,19068
20201,능동,11215780,2846023,6,4266864000,593181000,15987000,306492000,789855000,1101796000,63497000,198080000,166403000,54618000,976955000,11095
20201,자양1동,11215820,2745988,6,4222584000,1380407000,225103000,39511000,697691000,116484000,162641000,102653000,138500000,175159000,1184435000,21832
20201,자양2동,11215830,2999213,7,2706127000,811233000,44806000,37856000,393607000,74981000,161001000,154849000,214286000,103976000,709532000,23625
20201,자양3동,11215840,4353416,8,3641520000,510203000,365812000,38198000,302378000,323239000,358244000,38927000,253629000,207561000,1243329000,27216
20201,자양4동,11215847,2795134,6,6289200000,1468905000,211601000,20232000,850107000,23016000,103055000,268613000,720160000,278431000,2345080000,19881
20201,중곡1동,11215740,2542359,6,3761761000,1358198000,64430000,299481000,345175000,520960000,31721000,244000000,213897000,124365000,559534000,15237
20201,중곡2동,11215750,2555101,6,3128743000,809623000,92300000,100950000,588630000,107774000,130701000,149103000,233295000,123084000,793283000,20517
20201,중곡3동,11215760,2390961,5,2310412000,510027000,24516000,30116000,377673000,519471000,93202000,123210000,120055000,59105000,453037000,15727
20201,중곡4동,11215770,2523958,6,2918126000,956057000,124418000,19306000,304917000,241823000,135037000,124626000,212935000,73482000,725525000,27590
20201,화양동,11215710,2470026,6,14826214000,1480765000,880913000,71508000,1910774000,49269000,294936000,2373244000,1039853000,589073000,6135879000,23192
20202,광장동,11215810,5284540,9,3647892000,1003055000,125615000,54802000,317358000,240492000,368635000,65981000,261703000,179335000,1030916000,33967
20202,구의1동,11215850,2683701,6,3886415000,812784000,112370000,115604000,377481000,70857000,53667000,415419000,190374000,125771000,1612088000,23124
20202,구의2동,11215860,2948328,6,3715859000,1274912000,91094000,52468000,243331000,112813000,174464000,105936000,294926000,164045000,1201870000,25604
20202,구의3동,11215870,4010979,8,10069445000,1736441000,728792000,1109612000,890068000,894055000,718020000,134188000,752412000,1165843000,1940014000,27836
20202,군자동,11215730,2604535,6,4232060000,1189733000,37987000,253210000,487907000,144860000,79120000,155348000,193302000,264633000,1425960000,19068
20202,능동,11215780,2846023,6,4660208000,671852000,23238000,411792000,834396000,1004985000,58564000,242856000,178700000,69308000,1164517000,11095
20202,자양1동,11215820,2745988,6,4537716000,1412354000,258313000,50201000,715656000,118149000,177576000,109747000,160189000,190227000,1345304000,21832
20202,자양2동,11215830,2999213,7,3175608000,882654000,50501000,52732000,422536000,176558000,151573000,178227000,272320000,134363000,854144000,23625
20202,자양3동,11215840,4353416,8,3958027000,588507000,438007000,50871000,306836000,310982000,341488000,40230000,353540000,211897000,1315669000,27216
20202,자양4동,11215847,2795134,6,6840665000,1789130000,205199000,40175000,923109000,46844000,111521000,287169000,685308000,310168000,2442042000,19881
20202,중곡1동,11215740,2542359,6,4066320000,1453583000,96476000,267786000,397675000,491286000,29176000,260588000,257373000,139379000,672998000,15237
20202,중곡2동,11215750,2555101,6,3471257000,869221000,106697000,183838000,603777000,125389000,140504000,148911000,288103000,139474000,865343000,20517
20202,중곡3동,11215760,2390961,5,2381853000,534156000,35088000,62355000,397329000,460758000,87117000,130531000,130030000,67082000,477407000,15727
20202,중곡4동,11215770,2523958,6,3024904000,981405000,133039000,35122000,344128000,191195000,117826000,130660000,206201000,85377000,799951000,27590
20202,화양동,11215710,2470026,6,14999278000,1620856000,1163596000,61578000,2083923000,122115000,271038000,2115810000,918731000,659300000,5982331000,23192
20203,광장동,11215810,5284540,9,3454529000,1054110000,64682000,54257000,239895000,283988000,343672000,52926000,241126000,165437000,954436000,33967
20203,구의1동,11215850,2683701,6,3604584000,863507000,65522000,82584000,376373000,86446000,53084000,322060000,143407000,113679000,1497922000,23124
20203,구의2동,11215860,2948328,6,3614571000,1326040000,78081000,43250000,324793000,99460000,161549000,96258000,312818000,143804000,1028518000,25604
20203,구의3동,11215870,4010979,8,9749011000,1904919000,526394000,906836000,1051538000,903324000,669757000,83230000,806347000,1072481000,1824185000,27836
20203,군자동,11215730,2604535,6,4220106000,1337226000,38373000,237428000,542432000,202322000,73131000,150188000,127934000,253201000,1257871000,19068
20203,능동,11215780,2846023,6,4663427000,706231000,20569000,396822000,878805000,1112034000,64931000,181686000,186441000,62718000,1053190000,11095
20203,자양1동,11215820,2745988,6,4244212000,1507481000,146930000,31983000,686218000,104316000,138173000,85620000,131052000,160200000,1252239000,21832
20203,자양2동,11215830,2999213,7,3176323000,960711000,37629000,40222000,425298000,305622000,150696000,164494000,210323000,136979000,744349000,23625
20203,자양3동,11215840,4353416,8,3573430000,626614000,344509000,35170000,308994000,307776000,354219000,20645000,226364000,182828000,1166311000,27216
20203,자양4동,11215847,2795134,6,6250513000,1708565000,153454000,28635000,750212000,21268000,132356000,231293000,619733000,309131000,2295866000,19881
